Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
EPHB1_HUMAN,P54762,EPHB1,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Early endosome membrane Cell projection  dendrite,3q22.2,Ephrin type-B receptor 1  
EPHB2_HUMAN,P29323,EPHB2,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein. Cell projection  axon Cell projection  dendrite,1p36.12,Ephrin type-B receptor 2  
EPHB3_HUMAN,P54753,EPHB3,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  dendrite,3q27.1,Ephrin type-B receptor 3  
EPHB4_HUMAN,P54760,EPHB4,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,7q22.1,Ephrin type-B receptor 4  
EPHB6_HUMAN,O15197,EPHB6,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,7q34,Ephrin type-B receptor 6 
ERBB2_HUMAN,P04626,ERBB2,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,17q12,Receptor tyrosine-protein kinase erbB-2  
ERBB3_HUMAN,P21860,ERBB3,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,12q13.2,Receptor tyrosine-protein kinase erbB-3  
ERBB4_HUMAN,Q15303,ERBB4,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,2q34,Receptor tyrosine-protein kinase erbB-4  
ERN1_HUMAN,O75460,ERN1,Protein kinase superfamily  Ser/Thr protein kinase family,Endoplasmic reticulum membrane Single-pass type I membrane protein,17q23.3,Serine/threonine-protein kinase/endoribonuclease IRE1 
ERN2_HUMAN,Q76MJ5,ERN2,Protein kinase superfamily  Ser/Thr protein kinase family,Endoplasmic reticulum membrane Single-pass type I membrane protein,16p12.2,Serine/threonine-protein kinase/endoribonuclease IRE2 
FAK1_HUMAN,Q05397,PTK2,Protein kinase superfamily  Tyr protein kinase family  FAK subfamily,Cell junction  focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm  cell cortex. Cytoplasm  cytoskeleton. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus.,8q24.3,Focal adhesion kinase 1 
FAK2_HUMAN,Q14289,PTK2B,Protein kinase superfamily  Tyr protein kinase family  FAK subfamily,Cell junction  focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm  cell cortex. Cytoplasm  cytoskeleton. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus.,8p21.2,Protein-tyrosine kinase 2-beta  
FASTK_HUMAN,Q14296,FASTK,FAST protein kinase family,Isoform 4: Mitochondrion matrix,7q36.1,Fas-activated serine/threonine kinase 
FER_HUMAN,P16591,FER,Protein kinase superfamily  Tyr protein kinase family  Fes/fps subfamily,Cell membrane Single-pass type I membrane protein,5q21.3,Tyrosine-protein kinase Fer  
FES_HUMAN,P07332,FES,Protein kinase superfamily  Tyr protein kinase family  Fes/fps subfamily,Cell membrane Single-pass type I membrane protein,15q26.1,Tyrosine-protein kinase Fes/Fps  
FGFR1_HUMAN,P11362,FGFR1,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,8p11.23,Fibroblast growth factor receptor 1 
FGFR2_HUMAN,P21802,FGFR2,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,10q26.13,Fibroblast growth factor receptor 2 
FGFR3_HUMAN,P22607,FGFR3,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,4p16.3,Fibroblast growth factor receptor 3 
FGFR4_HUMAN,P22455,FGFR4,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,5q35.2,Fibroblast growth factor receptor 4 
FGR_HUMAN,P09769,FGR,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,1p35.3,Tyrosine-protein kinase Fgr  
FLT3_HUMAN,P36888,FLT3,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,13q12.2,Receptor-type tyrosine-protein kinase FLT3  
FRK_HUMAN,P42685,FRK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,6q22.1,Tyrosine-protein kinase FRK  
FYN_HUMAN,P06241,FYN,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,6q21,Tyrosine-protein kinase Fyn  
GAK_HUMAN,O14976,GAK,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm  perinuclear region Golgi apparatus  trans-Golgi network Cell junction  focal adhesion,4p16.3,Cyclin-G-associated kinase 
GP_NYV,Q83887,GP,Hantavirus envelope glycoprotein family,Glycoprotein N: Virion membrane Single-pass type I membrane protein Host Golgi apparatus membrane Single-pass type I membrane protein Host endoplasmic reticulum membrane Single-pass type I membrane protein,,Envelopment polyprotein 
GRK4_HUMAN,P32298,GRK4,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,4p16.3,G protein-coupled receptor kinase 4  
GRK5_HUMAN,P34947,GRK5,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,10q26.11,G protein-coupled receptor kinase 5  
GRK6_HUMAN,P43250,GRK6,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,5q35.3,G protein-coupled receptor kinase 6  
GRK7_HUMAN,Q8WTQ7,GRK7,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Membrane Lipid-anchor,3q23,Rhodopsin kinase  
GSK3A_HUMAN,P49840,GSK3A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  GSK-3 subfamily,Isoform 1: Cytoplasm,19q13.2,Glycogen synthase kinase-3 alpha 
GSK3B_HUMAN,P49841,GSK3B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  GSK-3 subfamily,Cytoplasm Nucleus. Cell membrane.,3q13.33,Glycogen synthase kinase-3 beta 
GUC2C_HUMAN,P25092,GUCY2C,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,12p12.3,Heat-stable enterotoxin receptor 
GUC2D_HUMAN,Q02846,GUCY2D,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,17p13.1,Retinal guanylyl cyclase 1 
GUC2F_HUMAN,P51841,GUCY2F,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Xq22.3-q23,Retinal guanylyl cyclase 2 
GWL_HUMAN,Q96GX5,MASTL,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus Cleavage furrow,10p12.1,Serine/threonine-protein kinase greatwall 
HASP_HUMAN,Q8TF76,HASPIN,Protein kinase superfamily  Ser/Thr protein kinase family  Haspin subfamily,Nucleus Chromosome Cytoplasm  cytoskeleton  spindle,17p13.2,Serine/threonine-protein kinase haspin  
HCK_HUMAN,P08631,HCK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,20q11.21,Tyrosine-protein kinase HCK  
HIPK1_HUMAN,Q86Z02,HIPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm Nucleus. Cell membrane.,1p13.2,Homeodomain-interacting protein kinase 1  
HIPK2_HUMAN,Q9H2X6,HIPK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Nucleus  PML body Cytoplasm.,7q34,Homeodomain-interacting protein kinase 2 
HIPK3_HUMAN,Q9H422,HIPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm Nucleus,11p13,Homeodomain-interacting protein kinase 3  
HIPK4_HUMAN,Q8NE63,HIPK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm,19q13.2,Homeodomain-interacting protein kinase 4 
HUNK_HUMAN,P57058,HUNK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,21q22.11,Hormonally up-regulated neu tumor-associated kinase  
ICK_HUMAN,Q9UPZ9,ICK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm  cytosol Cell projection  cilium Cytoplasm  cytoskeleton  cilium basal body,6p12.1,Serine/threonine-protein kinase ICK  
IGF1R_HUMAN,P08069,IGF1R,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,15q26.3,Insulin-like growth factor 1 receptor  
IKKA_HUMAN,O15111,CHUK,Protein kinase superfamily  Ser/Thr protein kinase family  I-kappa-B kinase subfamily,Cytoplasm Nucleus,10q24.31,Inhibitor of nuclear factor kappa-B kinase subunit alpha 
IKKB_HUMAN,O14920,IKBKB,Protein kinase superfamily  Ser/Thr protein kinase family  I-kappa-B kinase subfamily,Cytoplasm Nucleus Membrane raft,8p11.21,Inhibitor of nuclear factor kappa-B kinase subunit beta 
IKKE_HUMAN,Q14164,IKBKE,Protein kinase superfamily  Ser/Thr protein kinase family  I-kappa-B kinase subfamily,Cytoplasm Nucleus. Nucleus  PML body,1q32.1,Inhibitor of nuclear factor kappa-B kinase subunit epsilon 
ILK_HUMAN,Q13418,ILK,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cell junction  focal adhesion Cell membrane; Peripheral membrane protein; Cytoplasmic side Cell projection  lamellipodium Cytoplasm  myofibril  sarcomere,11p15.4,Integrin-linked protein kinase  
INSR_HUMAN,P06213,INSR,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,19p13.2,Insulin receptor 
INSRR_HUMAN,P14616,INSRR,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,1q23.1,Insulin receptor-related protein 
IRAK1_HUMAN,P51617,IRAK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,Xq28,Interleukin-1 receptor-associated kinase 1 
IRAK2_HUMAN,O43187,IRAK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,3p25.3,Interleukin-1 receptor-associated kinase-like 2 
IRAK3_HUMAN,Q9Y616,IRAK3,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,12q14.3,Interleukin-1 receptor-associated kinase 3 
IRAK4_HUMAN,Q9NWZ3,IRAK4,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm,12q12,Interleukin-1 receptor-associated kinase 4 
ITK_HUMAN,Q08881,ITK,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm Nucleus,5q33.3,Tyrosine-protein kinase ITK/TSK  
JAK1_HUMAN,P23458,JAK1,Protein kinase superfamily  Tyr protein kinase family  JAK subfamily,Cytoplasm Nucleus,1p31.3,Tyrosine-protein kinase JAK1  
JAK2_HUMAN,O60674,JAK2,Protein kinase superfamily  Tyr protein kinase family  JAK subfamily,Endomembrane system Peripheral membrane protein Cytoplasm Nucleus,9p24.1,Tyrosine-protein kinase JAK2  
JAK3_HUMAN,P52333,JAK3,Protein kinase superfamily  Tyr protein kinase family  JAK subfamily,Endomembrane system Peripheral membrane protein Cytoplasm,19p13.11,Tyrosine-protein kinase JAK3  
KALRN_HUMAN,O60229,KALRN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton,3q21.1-q21.2,Kalirin  
KAPCA_HUMAN,P17612,PRKACA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm. Cell membrane. Nucleus Mitochondrion Membrane Lipid-anchor,19p13.12,cAMP-dependent protein kinase catalytic subunit alpha 
KAPCB_HUMAN,P22694,PRKACB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,1p31.1,cAMP-dependent protein kinase catalytic subunit beta 
KAPCG_HUMAN,P22612,PRKACG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,9q21.11,cAMP-dependent protein kinase catalytic subunit gamma 
KC1A_HUMAN,P48729,CSNK1A1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Chromosome  centromere  kinetochore Nucleus speckle Cytoplasm  cytoskeleton  cilium basal body,5q32,Casein kinase I isoform alpha 
KC1AL_HUMAN,Q8N752,CSNK1A1L,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,13q13.3,Casein kinase I isoform alpha-like 
KC1D_HUMAN,P48730,CSNK1D,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm. Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  perinuclear region. Cell membrane. Cytoplasm  cytoskeleton  spindle. Golgi apparatus.,17q25.3,Casein kinase I isoform delta 
KC1E_HUMAN,P49674,CSNK1E,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Nucleus,22q13.1,Casein kinase I isoform epsilon 
KC1G1_HUMAN,Q9HCP0,CSNK1G1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Nucleus,15q22.31,Casein kinase I isoform gamma-1 
KC1G2_HUMAN,P78368,CSNK1G2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,19p13.3,Casein kinase I isoform gamma-2 
KC1G3_HUMAN,Q9Y6M4,CSNK1G3,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,5q23.2,Casein kinase I isoform gamma-3 
KCC1A_HUMAN,Q14012,CAMK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,3p25.3,Calcium/calmodulin-dependent protein kinase type 1  
KCC1B_HUMAN,Q6P2M8,PNCK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,Xq28,Calcium/calmodulin-dependent protein kinase type 1B  
KCC1D_HUMAN,Q8IU85,CAMK1D,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,10p13,Calcium/calmodulin-dependent protein kinase type 1D  
KCC1G_HUMAN,Q96NX5,CAMK1G,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Golgi apparatus membrane Peripheral membrane protein Cell membrane Peripheral membrane protein,1q32.2,Calcium/calmodulin-dependent protein kinase type 1G  
KCC2A_HUMAN,Q9UQM7,CAMK2A,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cell junction  synapse Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Cell projection  dendritic spine Cell projection  dendrite,5q32,Calcium/calmodulin-dependent protein kinase type II subunit alpha 
KCC2B_HUMAN,Q13554,CAMK2B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm  cytoskeleton Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Cell junction  synapse,7p13,Calcium/calmodulin-dependent protein kinase type II subunit beta 
KCC2D_HUMAN,Q13557,CAMK2D,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cell membrane  sarcolemma Peripheral membrane protein Cytoplasmic side Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,4q26,Calcium/calmodulin-dependent protein kinase type II subunit delta 
KCC2G_HUMAN,Q13555,CAMK2G,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,10q22.2,Calcium/calmodulin-dependent protein kinase type II subunit gamma 
KCC4_HUMAN,Q16566,CAMK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,5q22.1,Calcium/calmodulin-dependent protein kinase type IV 
KGP1_HUMAN,Q13976,PRKG1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cGMP subfamily,Cytoplasm,10q11.23-q21.1,cGMP-dependent protein kinase 1 
KGP2_HUMAN,Q13237,PRKG2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cGMP subfamily,Apical cell membrane Lipid-anchor,4q21.21,cGMP-dependent protein kinase 2 
KIT_HUMAN,P10721,KIT,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell junction Endoplasmic reticulum,4q12,Mast/stem cell growth factor receptor Kit 
KKCC1_HUMAN,Q8N5S9,CAMKK1,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Nucleus,17p13.2,Calcium/calmodulin-dependent protein kinase kinase 1 
KKCC2_HUMAN,Q96RR4,CAMKK2,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus Cytoplasm Cell projection,12q24.31,Calcium/calmodulin-dependent protein kinase kinase 2 
KPCA_HUMAN,P17252,PRKCA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cell membrane Peripheral membrane protein Mitochondrion membrane Peripheral membrane protein Nucleus,17q24.2,Protein kinase C alpha type 
KPCB_HUMAN,P05771,PRKCB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Membrane Peripheral membrane protein,16p12.2-p12.1,Protein kinase C beta type 
KPCD_HUMAN,Q05655,PRKCD,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  perinuclear region Nucleus Cell membrane Peripheral membrane protein,3p21.1,Protein kinase C delta type  
KPCD1_HUMAN,Q15139,PRKD1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Cell membrane Golgi apparatus  trans-Golgi network,14q12,Serine/threonine-protein kinase D1  
KPCD2_HUMAN,Q9BZL6,PRKD2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Cell membrane Nucleus Golgi apparatus  trans-Golgi network,19q13.32,Serine/threonine-protein kinase D2  
KPCD3_HUMAN,O94806,PRKD3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Membrane,2p22.2,Serine/threonine-protein kinase D3  
KPCE_HUMAN,Q02156,PRKCE,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  cytoskeleton Cell membrane Cytoplasm  perinuclear region Nucleus,2p21,Protein kinase C epsilon type  
KPCG_HUMAN,P05129,PRKCG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  perinuclear region Cell membrane Peripheral membrane protein Cell junction  synapse  synaptosome Cell projection  dendrite,19q13.42,Protein kinase C gamma type 
KPCI_HUMAN,P41743,PRKCI,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Membrane Endosome Nucleus,3q26.2,Protein kinase C iota type  
KPCL_HUMAN,P24723,PRKCH,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm,14q23.1,Protein kinase C eta type  
KPCT_HUMAN,Q04759,PRKCQ,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Membrane Endosome Nucleus,10p15.1,Protein kinase C theta type  
KPCZ_HUMAN,Q05513,PRKCZ,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Endosome Cell junction Membrane Peripheral membrane protein,1p36.33,Protein kinase C zeta type  
KPSH1_HUMAN,P11801,PSKH1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Membrane,16q22.1,Serine/threonine-protein kinase H1  
KPSH2_HUMAN,Q96QS6,PSKH2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Membrane,8q21.3,Serine/threonine-protein kinase H2  
KS6A1_HUMAN,Q15418,RPS6KA1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome.,1p36.11,Ribosomal protein S6 kinase alpha-1 
KS6A2_HUMAN,Q15349,RPS6KA2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus Cytoplasm,6q27,Ribosomal protein S6 kinase alpha-2 
KS6A3_HUMAN,P51812,RPS6KA3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus Cytoplasm,Xp22.12,Ribosomal protein S6 kinase alpha-3 
KS6A4_HUMAN,O75676,RPS6KA4,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus,11q13.1,Ribosomal protein S6 kinase alpha-4 
KS6A5_HUMAN,O75582,RPS6KA5,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus,14q32.11,Ribosomal protein S6 kinase alpha-5 
KS6A6_HUMAN,Q9UK32,RPS6KA6,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm  cytosol Nucleus,Xq21.1,Ribosomal protein S6 kinase alpha-6 
KS6B1_HUMAN,P23443,RPS6KB1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,17q23.1,Ribosomal protein S6 kinase beta-1 
KS6B2_HUMAN,Q9UBS0,RPS6KB2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,11q13.2,Ribosomal protein S6 kinase beta-2 
KS6C1_HUMAN,Q96S38,RPS6KC1,Protein kinase superfamily  Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm Membrane Early endosome,1q32.3,Ribosomal protein S6 kinase delta-1 
KS6R_HUMAN,Q96LW2,RSKR,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Golgi apparatus Cell projection  lamellipodium,17q11.2,Ribosomal protein S6 kinase-related protein  
KSR1_HUMAN,Q8IVT5,KSR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm Membrane Peripheral membrane protein Cell membrane Peripheral membrane protein Cell projection  ruffle membrane Endoplasmic reticulum membrane,17q11.2,Kinase suppressor of Ras 1
KSR2_HUMAN,Q6VAB6,KSR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm Membrane Peripheral membrane protein,12q24.22-q24.23,Kinase suppressor of Ras 2 
KSYK_HUMAN,P43405,SYK,Protein kinase superfamily  Tyr protein kinase family  SYK/ZAP-70 subfamily,Cell membrane Cytoplasm  cytosol,9q22.2,Tyrosine-protein kinase SYK  
LATS1_HUMAN,O95835,LATS1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,6q25.1,Serine/threonine-protein kinase LATS1  
LATS2_HUMAN,Q9NRM7,LATS2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,13q12.11,Serine/threonine-protein kinase LATS2  
LCK_HUMAN,P06239,LCK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Cell membrane Lipid-anchor Cytoplasmic side,1p35.2,Tyrosine-protein kinase Lck  
LIMK1_HUMAN,P53667,LIMK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Nucleus. Cell projection  lamellipodium,7q11.23,LIM domain kinase 1 
LIMK2_HUMAN,P53671,LIMK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Nucleus. Cell projection  lamellipodium,22q12.2,LIM domain kinase 2 
LMTK1_HUMAN,Q6ZMQ8,AATK,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass type I membrane protein Cytoplasm Cytoplasm  perinuclear region,17q25.3,Serine/threonine-protein kinase LMTK1  
LMTK2_HUMAN,Q8IWU2,LMTK2,Protein kinase superfamily  Tyr protein kinase family,Membrane Multi-pass membrane protein,7q21.3,Serine/threonine-protein kinase LMTK2  
LMTK3_HUMAN,Q96Q04,LMTK3,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass membrane protein Cell projection  axon Cell projection  dendrite Golgi apparatus membrane,19q13.33,Serine/threonine-protein kinase LMTK3  
LRRK1_HUMAN,Q38SD2,LRRK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  ROCO subfamily,Cytoplasm,15q26.3,Leucine-rich repeat serine/threonine-protein kinase 1 
LRRK2_HUMAN,Q5S007,LRRK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection  axon. Cell projection  dendrite. Endoplasmic reticulum Cytoplasmic vesicle  secretory vesicle  synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix,12q12,Leucine-rich repeat serine/threonine-protein kinase 2  
LTK_HUMAN,P29376,LTK,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Membrane Single-pass membrane protein Cell projection  axon Cell projection  dendrite Golgi apparatus membrane,15q15.1,Leukocyte tyrosine kinase receptor  
LYN_HUMAN,P07948,LYN,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane. Nucleus. Cytoplasm. Cytoplasm  perinuclear region. Golgi apparatus. Membrane Lipid-anchor,8q12.1,Tyrosine-protein kinase Lyn  
M3K1_HUMAN,Q13233,MAP3K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus. Cytoplasm,5q11.2,Mitogen-activated protein kinase kinase kinase 1  
