KinaseID,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_location,Protein_longname,Genome_location 
121,Q8N2I9,STK40_HUMAN,STK40,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,Serine/threonine-protein kinase 40  ,1p34.3
122,Q96RU8,TRIB1_HUMAN,TRIB1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Nucleus Cytoplasm,Tribbles homolog 1 ,8q24.13
123,Q92519,TRIB2_HUMAN,TRIB2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Cytoplasm Cytoplasm  cytoskeleton,Tribbles homolog 2 ,2p24.3
124,Q96RU7,TRIB3_HUMAN,TRIB3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  Tribbles subfamily,Nucleus,Tribbles homolog 3 ,20p13
125,O75962,TRIO_HUMAN,TRIO,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,Triple functional domain protein  ,5p15.2
126,Q9BXA7,TSSK1_HUMAN,TSSK1B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,Testis-specific serine/threonine-protein kinase 1 ,5q22.2
127,Q96PF2,TSSK2_HUMAN,TSSK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,Testis-specific serine/threonine-protein kinase 2 ,22q11.21
128,Q96PN8,TSSK3_HUMAN,TSSK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,Testis-specific serine/threonine-protein kinase 3 ,1p35.1
129,Q6SA08,TSSK4_HUMAN,TSSK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,Testis-specific serine/threonine-protein kinase 4 ,14q12
130,Q9BXA6,TSSK6_HUMAN,TSSK6,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasmic vesicle  secretory vesicle  acrosome Cell projection  cilium  flagellum,Testis-specific serine/threonine-protein kinase 6 
131,Q8WZ42,TITIN_HUMAN,TTN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,Titin  ,2q31.2
132,P48729,KC1A_HUMAN,CSNK1A1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Chromosome  centromere  kinetochore Nucleus speckle Cytoplasm  cytoskeleton  cilium basal body,Casein kinase I isoform alpha ,5q32
133,Q8N752,KC1AL_HUMAN,CSNK1A1L,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,Casein kinase I isoform alpha-like ,13q13.3
134,P48730,KC1D_HUMAN,CSNK1D,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm. Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  perinuclear region. Cell membrane. Cytoplasm  cytoskeleton  spindle. Golgi apparatus.,Casein kinase I isoform delta ,17q25.3
135,P49674,KC1E_HUMAN,CSNK1E,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Nucleus,Casein kinase I isoform epsilon ,22q13.1
136,Q9HCP0,KC1G1_HUMAN,CSNK1G1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm Nucleus,Casein kinase I isoform gamma-1 ,15q22.31
137,P78368,KC1G2_HUMAN,CSNK1G2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,Casein kinase I isoform gamma-2 ,19p13.3
138,Q9Y6M4,KC1G3_HUMAN,CSNK1G3,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  Casein kinase I subfamily,Cytoplasm,Casein kinase I isoform gamma-3 ,5q23.2
139,Q5TCY1,TTBK1_HUMAN,TTBK1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family,Cytoplasm,Tau-tubulin kinase 1  ,6p21.1
140,Q6IQ55,TTBK2_HUMAN,TTBK2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family,Cell projection  cilium Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole. Cytoplasm  cytosol. Nucleus.,Tau-tubulin kinase 2 ,15q15.2
141,Q99986,VRK1_HUMAN,VRK1,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Cytoplasm. Nucleus. Cytoplasm  cytoskeleton  spindle,Serine/threonine-protein kinase VRK1  ,14q32.2
142,Q86Y07,VRK2_HUMAN,VRK2,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Isoform 1: Cytoplasm. Endoplasmic reticulum membrane Single-pass type IV membrane protein Mitochondrion membrane Single-pass type IV membrane protein,Serine/threonine-protein kinase VRK2  ,2p16.1
143,Q8IV63,VRK3_HUMAN,VRK3,Protein kinase superfamily  CK1 Ser/Thr protein kinase family  VRK subfamily,Nucleus,Inactive serine/threonine-protein kinase VRK3 ,19q13.33
144,P06493,CDK1_HUMAN,CDK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus. Cytoplasm. Mitochondrion. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle.,Cyclin-dependent kinase 1 ,10q21.2
145,O14519,CDKA1_HUMAN,CDK2AP1,CDK2AP family,Nucleus. Cytoplasm. Mitochondrion. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle.,Cyclin-dependent kinase 2-associated protein 1 ,12q24.31
146,Q15131,CDK10_HUMAN,CDK10,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,Cyclin-dependent kinase 10  ,16q24.3
147,Q9UQ88,CD11A_HUMAN,CDK11A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,Cyclin-dependent kinase 11A  ,1p36.33
148,P21127,CD11B_HUMAN,CDK11B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,Cyclin-dependent kinase 11B  ,1p36.33
149,Q9NYV4,CDK12_HUMAN,CDK12,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,Cyclin-dependent kinase 12   ,17q12
150,Q14004,CDK13_HUMAN,CDK13,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,Cyclin-dependent kinase 13   ,7p14.1
151,O94921,CDK14_HUMAN,CDK14,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,Cyclin-dependent kinase 14  ,7q21.13
152,Q96Q40,CDK15_HUMAN,CDK15,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,Cyclin-dependent kinase 15  ,2q33.1
153,Q00536,CDK16_HUMAN,CDK16,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Cyclin-dependent kinase 16  ,Xp11.3
154,Q00537,CDK17_HUMAN,CDK17,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Cyclin-dependent kinase 17  ,12q23.1
155,Q07002,CDK18_HUMAN,CDK18,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Cyclin-dependent kinase 18  ,1q32.1
156,Q9BWU1,CDK19_HUMAN,CDK19,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Cyclin-dependent kinase 19  ,6q21
157,P24941,CDK2_HUMAN,CDK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Cyclin-dependent kinase 2  ,12q13.2
158,Q8IZL9,CDK20_HUMAN,CDK20,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,Cyclin-dependent kinase 20  ,9q22.1
159,Q00526,CDK3_HUMAN,CDK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,Cyclin-dependent kinase 3  ,17q25.1
160,P11802,CDK4_HUMAN,CDK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,Cyclin-dependent kinase 4  ,12q14.1
161,Q00535,CDK5_HUMAN,CDK5,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Isoform 1: Cytoplasm. Cell membrane; Peripheral membrane protein. Perikaryon. Cell projection  lamellipodium Cell projection  growth cone Cell junction  synapse  postsynaptic cell membrane  postsynaptic density,Cyclin-dependent-like kinase 5  ,7q36.1
162,Q00534,CDK6_HUMAN,CDK6,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Nucleus. Cell projection  ruffle. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Cyclin-dependent kinase 6  ,7q21.2
163,P50613,CDK7_HUMAN,CDK7,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Nucleus. Cell projection  ruffle. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Cyclin-dependent kinase 7   ,5q13.2
164,P49336,CDK8_HUMAN,CDK8,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus,Cyclin-dependent kinase 8   ,13q12.13
165,P50750,CDK9_HUMAN,CDK9,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus,Cyclin-dependent kinase 9   ,9q34.11
166,Q00532,CDKL1_HUMAN,CDKL1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Nucleus,Cyclin-dependent kinase-like 1  ,14q21.3
167,Q92772,CDKL2_HUMAN,CDKL2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Nucleus,Cyclin-dependent kinase-like 2  ,4q21.1
168,Q8IVW4,CDKL3_HUMAN,CDKL3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm,Cyclin-dependent kinase-like 3  ,5q31.1
169,Q5MAI5,CDKL4_HUMAN,CDKL4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm,Cyclin-dependent kinase-like 4 
170,O76039,CDKL5_HUMAN,CDKL5,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Cyclin-dependent kinase-like 5  ,Xp22.13
171,P49759,CLK1_HUMAN,CLK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Dual specificity protein kinase CLK1  ,2q33.1
172,P49760,CLK2_HUMAN,CLK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Dual specificity protein kinase CLK2  ,1q22
173,P49761,CLK3_HUMAN,CLK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Isoform 1: Nucleus. Cytoplasm Cytoplasmic vesicle  secretory vesicle  acrosome,Dual specificity protein kinase CLK3  ,15q24.1
174,Q9HAZ1,CLK4_HUMAN,CLK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus,Dual specificity protein kinase CLK4  ,5q35.3
175,Q13627,DYR1A_HUMAN,DYRK1A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 1A  ,21q22.13
176,Q9Y463,DYR1B_HUMAN,DYRK1B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 1B  ,19q13.2
177,Q92630,DYRK2_HUMAN,DYRK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 2 ,12q15
178,O43781,DYRK3_HUMAN,DYRK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Cytoplasm Nucleus speckle Cytoplasmic granule Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Dual specificity tyrosine-phosphorylation-regulated kinase 3  ,1q32.1
179,Q9NR20,DYRK4_HUMAN,DYRK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Isoform 1: Cytoplasm,Dual specificity tyrosine-phosphorylation-regulated kinase 4 ,12p13.32
180,P49840,GSK3A_HUMAN,GSK3A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  GSK-3 subfamily,Isoform 1: Cytoplasm,Glycogen synthase kinase-3 alpha ,19q13.2
181,P49841,GSK3B_HUMAN,GSK3B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  GSK-3 subfamily,Cytoplasm Nucleus. Cell membrane.,Glycogen synthase kinase-3 beta ,3q13.33
182,Q86Z02,HIPK1_HUMAN,HIPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm Nucleus. Cell membrane.,Homeodomain-interacting protein kinase 1  ,1p13.2
183,Q9H2X6,HIPK2_HUMAN,HIPK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Nucleus  PML body Cytoplasm.,Homeodomain-interacting protein kinase 2 ,7q34
184,Q9H422,HIPK3_HUMAN,HIPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm Nucleus,Homeodomain-interacting protein kinase 3  ,11p13
185,Q8NE63,HIPK4_HUMAN,HIPK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  HIPK subfamily,Cytoplasm,Homeodomain-interacting protein kinase 4 ,19q13.2
186,Q9UPZ9,ICK_HUMAN,ICK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm  cytosol Cell projection  cilium Cytoplasm  cytoskeleton  cilium basal body,Serine/threonine-protein kinase ICK  ,6p12.1
187,P20794,MAK_HUMAN,MAK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome. Cytoplasm  cytoskeleton  spindle. Midbody. Cell projection  cilium  photoreceptor outer segment Photoreceptor inner segment.,Serine/threonine-protein kinase MAK  ,6p24.2
188,P28482,MK01_HUMAN,MAPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm  cytoskeleton  spindle Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome. Cytoplasm. Membrane  caveola,Mitogen-activated protein kinase 1 ,22q11.22
189,P53779,MK10_HUMAN,MAPK10,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Membrane Lipid-anchor Nucleus Mitochondrion,Mitogen-activated protein kinase 10 ,4q21.3
190,Q15759,MK11_HUMAN,MAPK11,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 11 ,22q13.33
191,P53778,MK12_HUMAN,MAPK12,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 12 ,22q13.33
192,O15264,MK13_HUMAN,MAPK13,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 13 ,6p21.31
193,Q16539,MK14_HUMAN,MAPK14,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 14 ,6p21.31
194,Q8TD08,MK15_HUMAN,MAPK15,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm  cytoskeleton  cilium basal body Cell junction  tight junction Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Cytoplasmic vesicle  autophagosome Golgi apparatus Nucleus Cytoplasm Cytoplasm  cytoskeleton  spindle,Mitogen-activated protein kinase 15 ,-
195,P27361,MK03_HUMAN,MAPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm. Nucleus. Membrane  caveola,Mitogen-activated protein kinase 3 ,16p11.2
196,P31152,MK04_HUMAN,MAPK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 4 ,18q21.1-q21.2
197,Q16659,MK06_HUMAN,MAPK6,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 6 ,15q21.2
198,Q13164,MK07_HUMAN,MAPK7,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 7 ,17p11.2
199,P45983,MK08_HUMAN,MAPK8,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 8 ,10q11.22
200,P45984,MK09_HUMAN,MAPK9,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase 9 ,5q35.3
201,Q9UQ07,MOK_HUMAN,MOK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Cell projection  cilium Nucleus,MAPK/MAK/MRK overlapping kinase  ,14q32.31
202,Q9UBE8,NLK_HUMAN,NLK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Nucleus Cytoplasm,Serine/threonine-protein kinase NLK  ,17q11.2
203,Q13523,PRP4B_HUMAN,PRPF4B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,Serine/threonine-protein kinase PRP4 homolog  ,6p25.2
204,Q96SB4,SRPK1_HUMAN,SRPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,SRSF protein kinase 1  ,6p21.31
205,P78362,SRPK2_HUMAN,SRPK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,SRSF protein kinase 2  ,7q22.3
206,Q9UPE1,SRPK3_HUMAN,SRPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family,Nucleus Cytoplasm,SRSF protein kinase 3  ,Xq28
207,Q96PY6,NEK1_HUMAN,NEK1,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm,Serine/threonine-protein kinase Nek1  ,4q33
208,Q6ZWH5,NEK10_HUMAN,NEK10,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm,Serine/threonine-protein kinase Nek10  ,3p24.1
209,Q8NG66,NEK11_HUMAN,NEK11,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Nucleus  nucleolus,Serine/threonine-protein kinase Nek11  ,3q22.1
210,P51955,NEK2_HUMAN,NEK2,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Isoform 1: Nucleus. Nucleus  nucleolus Cytoplasm. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle pole. Chromosome  centromere  kinetochore. Chromosome  centromere,Serine/threonine-protein kinase Nek2  ,1q32.3
211,P51956,NEK3_HUMAN,NEK3,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Cell projection  axon,Serine/threonine-protein kinase Nek3  ,13q14.3
212,P51957,NEK4_HUMAN,NEK4,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,Serine/threonine-protein kinase Nek4  ,3p21.1
213,Q6P3R8,NEK5_HUMAN,NEK5,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,Serine/threonine-protein kinase Nek5  ,13q14.3
214,Q9HC98,NEK6_HUMAN,NEK6,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,Serine/threonine-protein kinase Nek6  ,9q33.3
215,Q8TDX7,NEK7_HUMAN,NEK7,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,Serine/threonine-protein kinase Nek7  ,1q31.3
216,Q86SG6,NEK8_HUMAN,NEK8,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Cytoplasm  cytoskeleton. Cell projection  cilium,Serine/threonine-protein kinase Nek8  ,17q11.2
217,Q8TD19,NEK9_HUMAN,NEK9,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase Nek9  ,14q24.3
218,P25092,GUC2C_HUMAN,GUCY2C,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Heat-stable enterotoxin receptor ,12p12.3
219,Q02846,GUC2D_HUMAN,GUCY2D,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Retinal guanylyl cyclase 1 ,17p13.1
220,P51841,GUC2F_HUMAN,GUCY2F,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Retinal guanylyl cyclase 2 ,Xq22.3-q23
221,P16066,ANPRA_HUMAN,NPR1,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Atrial natriuretic peptide receptor 1  ,1q21.3
222,P20594,ANPRB_HUMAN,NPR2,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein,Atrial natriuretic peptide receptor 2  ,9p13.3
223,Q02750,MP2K1_HUMAN,MAP2K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  microtubule organizing center  spindle pole body Cytoplasm Nucleus Membrane Peripheral membrane protein,Dual specificity mitogen-activated protein kinase kinase 1 ,15q22.31
224,P36507,MP2K2_HUMAN,MAP2K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Dual specificity mitogen-activated protein kinase kinase 2 ,19p13.3
225,P46734,MP2K3_HUMAN,MAP2K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Dual specificity mitogen-activated protein kinase kinase 3 ,17p11.2
226,P45985,MP2K4_HUMAN,MAP2K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Nucleus,Dual specificity mitogen-activated protein kinase kinase 4 ,17p12
227,Q13163,MP2K5_HUMAN,MAP2K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Nucleus,Dual specificity mitogen-activated protein kinase kinase 5 ,15q23
228,P52564,MP2K6_HUMAN,MAP2K6,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Nucleus Cytoplasm Cytoplasm  cytoskeleton,Dual specificity mitogen-activated protein kinase kinase 6 ,17q24.3
229,O14733,MP2K7_HUMAN,MAP2K7,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Nucleus. Cytoplasm,Dual specificity mitogen-activated protein kinase kinase 7 ,19p13.2
230,Q13233,M3K1_HUMAN,MAP3K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus. Cytoplasm,Mitogen-activated protein kinase kinase kinase 1  ,5q11.2
231,Q02779,M3K10_HUMAN,MAP3K10,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus. Cytoplasm,Mitogen-activated protein kinase kinase kinase 10  ,19q13.2
232,Q16584,M3K11_HUMAN,MAP3K11,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Mitogen-activated protein kinase kinase kinase 11  ,11q13.1
233,Q12852,M3K12_HUMAN,MAP3K12,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Cell membrane,Mitogen-activated protein kinase kinase kinase 12  ,12q13.13
234,O43283,M3K13_HUMAN,MAP3K13,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 13  ,3q27.2
235,Q99558,M3K14_HUMAN,MAP3K14,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 14  ,17q21.31
236,Q6ZN16,M3K15_HUMAN,MAP3K15,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 15  ,Xp22.12
237,Q56UN5,M3K19_HUMAN,MAP3K19,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 19  ,2q21.3
